,,,James Maclagan 129 R. Maclagan 131 iii
A -,Robert Anstruther 34.98,,David Macgibbon 62.83.95.109
,Robert Auld,,Philip Morison 53.76.110
,,,"Harry Monro 41,61,67,103"
B -,Robert Balfour 61,,John Millar 85.125
,James Ballingall 60.97.111,,John Morison 96
-,"Robert Baron 55,74,80,104",,Thomas Marshall 128
-,Robert Brown 52.66,N,William Neish
,"Simon Blair. 98,71,78,91,106,116",,
,"John Barclay 94,109",R,"Mr Henry Rymer .52,75,80.100"
,Tho. Bisset 90.,,William Reid 45.89.102
C,Dr Archibald Campbell 73,,"George Robertson, 47,72.141"
-,Mr John Craigie 44,,David Russel 36 85.107
,,,Jo. Ramsay. 88.105.114
D-,George Dempster 55,,
,Mr Richard Dick 74,S,"Professor Shaw 42,79.81 88.107.122"
-,Alexr Duncan 36.78.97,,Dr Thomas Simson 57.117
,Archd Duncan,,Alexr Sharp
,John Duncan 42.66.86.108,,"John Smibert 51,62,77.91.113"
,Robert Dalgliesh 65.78.94,-,"Jerom Stones 41,68,34"
,James Durham. 87 Alexr. Duff. 108,-,Mr James Stuart 63
Elgin 133,Robt Dunbar 90.112 Wm Duncan 94,,Mr John Stuart
F,"Alexr Farrier 49, 69 92.106",,George Swan 39 104
,Andrew Finlay,,David Smith 87. 113
,David Frazer 59,,Jo. Sutherland 93.112
,Griffith Ferguson 100. 127,,
,,T,Principal Tullideph 45
G,Mr David Gregory 49,,Thomas Thomson 53
-,Laur. Gillespie 46,,"William Tyler 54,73.95.118"
,"Robert Grant 46,70.93.114",,James Thomson 101.115
,Robert Gregg,,
,,V,Mr William Vilant
H,Dr George Hadow 58,,
,Mr John Hill 48. ii6,W,Mr Walter Wilson 63.82 ii7
,"Andrew Hutton 30, 70 89 102",,Patrick Wilson 81
-,Robt Halkerston,,"Robert Watson 47,72,79.83.86.105 120"
,,,Andrew Williamson 65
,,,Thomas Wolfe 43.98
K,James Key 60.92.99,,
L,Mr David Lindsay,,
,John Loch,Y,Mr David Young 62
-,Thomas Lyell,,Mr John Young 44
,David Lyon 71,,Mr Ninian Young 76
,George Lyon 64. 99,,
,Gabriel Lyon 132.,,
M,Principal Murison 69,,
,Duncan Macara 48.96.110,,
,"Joseph Macormick. 48,77,82.101.113.119",,
,,,
